ISBN,CONCAT
9780753733325 ,491001619129597848443341561923055024007978479804753919230550380049784894717695192300407200497840651567281920979010000978416391116819200930150049784062179812192007101000797840002964411920380012006978430927172919200760180089784774149745192305502580697841030770391910093023000978415207811719100450190069784844365174192207002000197844340361701920040028002978483875310919294760150064910079690988978483993199519230550328049784797324280192005502800497848947116311923004046005978479811892519230550280059784894768710192308002400397845355604751921047026008978410353431019200950130089784152078124191004501900697844781072251922030015009978447806480119200300160029784265820009192804401200397847687011881923041043005978479811468219230550480039784342010408192708201500797847993234271920030013001978478191229519233550880069784048930710192300405000297847890109621920082016005978450280563919223340070079784774172705192305503300997848731176451923055036000978489085527819210820180069784822250256192003401900997847890175031920082016005978434403472319200950140059784845611492192307302300697847683098411920072020005978483474714019294760111149784593504497192879701400297847690200591928797014569978427406570519230410200069784140816585192009801600697844781072491920030017009978415209708819200300160029784047357426192009501000797843449857971920295008804978449231452419200360180009784756138224192300408800597844923138311923033048001978477415464019230550320029784061529267192334103000297847973500051920198009007978415050452619201140074079784480428417192019500620797841011210791920193005509978415050526419201980082089784003500279192012001100997841505047551920145009807978415050527119201980082089784274211317192305505200097841501026231920197006403978430946255419201970065029784295403654192203401380397842961028081920034018002978475721269519200950100079784150505172192013300740297841505045021920111009206978415050449619201110092069784797337952192005503200197841010016921920195006306978400336562519201100090099784480425577192019500760097845340555761922063015007978400005524619200410240034934569357182978428420453819280370130009784478106112192003001600297845340400151922034014008978477415326119230550188089784861370489192037601400797848399506061922076015407978491587292119200950130089784479305910192013000700997847993181261920030010000978415203523319200980300029784046026330192208201500297848163579471922047012008978426210141519200760095019784860088262192009500680297845760821101920097016007978453557475519230810150009784569782065192009501100497843390275181923355028002978479496928619200950180039784620324630192008101400297844781072941920030014008978486113923919200950120019784845633500192009501500297840460413711920030014008978400500343319202870074029784062186988192007101000797842541213911923041098005978475614527719220820180039784062096577192009301600197847973697001920041022009978404600265519220820140059784819700818192207601000697844800716751920295009207978406258181319203220160009784839967130192207601540797848211088931920095015002978442210052419200110160079784422112572192001101400397840473532821920979006805978404735569919209790076049784047350731192097900680597848731173861923055037007978447810551119200330150029784344034082192009501400597840460467891920030014008978408720114719202370070019784774157153192300402880397841505053701920111009206978486394092519200340198019784563024376192334203400997849045366671920000012003978483795746119200300180069784822251550192000402800097845946112241929476014009978447979363219200300160029784816348655192207601200097844780661191920030015005978434498567419202950088049784101800103192019300550997847631312011920030014008978410128807919201930067049784422751184192237601000397840919234481920179006001978400603060519201410080029784101001333192019300362897847973450251920198009502978400603051319201110110019784091923455192017900600197840919234311920179006001978409192342419201790060019784091923417192017900600197844167002111920076014000
1920408018409 ,
9780008167677 ,
1922104023381 ,
9784756921031 ,
1920082021009 ,
9781107632264 ,
9780061129735 ,
1927214019507 ,
9784314011778 ,
1920010013007 ,
9784419063122 ,
1923063021005 ,
9780192736451 ,
9784167910600 ,
1920198008802 ,
9784832241190 ,
1929979008192 ,
9780061997228 ,
9784832242692 ,
1929979008192 ,
9784832244207 ,
1929979008192 ,
9784832246171 ,
1929979008192 ,
9784832247345 ,
1929979008192 ,
9784832248946 ,
1929979008192 ,
9784866512297 ,
1920098012800 ,
9784046043672 ,
1922034014008 ,
9784314005586 ,
1920010012628 ,
9781101904053 ,
1927235021428 ,
1920408033006 ,
9780753553589 ,
9781785042119 ,
9784781618647 ,
1920095017006 ,
9781781259542 ,
1920409020852 ,
9784763137760 ,
1920036016006 ,
9784763137029 ,
1920030016002 ,
9781107474574 ,
9781108711821 ,
1920409065785 ,
9784478107195 ,
1920030018006 ,
9780813228327 ,
9780194748407 ,
419629841343 ,
9784532322403 ,
1920034018002 ,
4910067050800 ,
9781529005370 ,
1921028021961 ,
9781472139955 ,
9781610399500 ,
1920409030004 ,
9784839973599 ,
1922076013403 ,
9781780936802 ,
1920409033371 ,
9784864107693 ,
1920098009008 ,
9784594030193 ,
1920097008385 ,
9784041038697 ,
1920979009806 ,
9784799324462 ,
1920034015001 ,
9784789017121 ,
1920082024000 ,
