,date,store,title,price
0,2020-12-03,丸善 丸の内本店,NO RULES RULES: NETFLIX AND THE CULTURE OF REINVENTION(EXP)(,"3,171"
1,2020-12-03,丸善 丸の内本店,その他商品,"3,171"
2,2020-11-16,文教堂 溝ノ口本店,幼女社長 ２,"1,980"
3,2020-11-16,文教堂 溝ノ口本店,幼女社長,"1,980"
4,2020-11-14,丸善 丸の内本店,Coming Home to Math:Become Comfortable with the Numbers that,"5,369"
5,2020-11-11,文教堂 二子玉川店,ウイスキーは楽しい！ 絵で読むウイスキー教本,"2,530"
6,2020-11-07,丸善 丸の内本店,7 HABITS OF HIGHLY EFFECTIVE PEOPLE(25TH ANNIVERSARY ED)(B)(,"9,666"
7,2020-11-07,丸善 丸の内本店,Taylor Swift Square 12x12,"9,666"
8,2020-11-07,丸善 丸の内本店,Event B,"9,666"
9,2020-11-07,丸善 丸の内本店,Taylor Swift: In Her Own Words,"9,666"
10,2020-11-07,丸善 丸の内本店,その他商品,"9,666"
11,2020-11-03,ジュンク堂 MARUZEN＆ジュンク堂書店　渋谷店,自信を育てる心理学 「自己評価」入門 新装版,"3,520"
12,2020-11-03,ジュンク堂 MARUZEN＆ジュンク堂書店　渋谷店,Event F,"3,520"
13,2020-10-17,丸善 丸の内本店,You Are a Badass(r): How to Stop Doubting Your Greatness and,"9,333"
14,2020-10-17,丸善 丸の内本店,その他商品,"9,333"
15,2020-10-17,丸善 丸の内本店,The Personal MBA 10th Anniversary Edition,"9,333"
16,2020-10-17,丸善 丸の内本店,"ON WRITING WELL, 30TH ANNIVERSARY EDITION:THE CLASSIC GUIDE","9,333"
17,2020-10-17,丸善 丸の内本店,１から始めるＪｕｌｉａプログラミング,"2,970"
18,2020-10-17,丸善 丸の内本店,最速でおしゃれに見せる方法 実践編,"3,190"
19,2020-10-17,丸善 丸の内本店,生きるということ 新装版,"3,190"
20,2020-10-17,丸善 丸の内本店,オンラインでも好かれる人・信頼される人の話し方,"1,518"
21,2020-10-13,文教堂 二子玉川店,その他商品,"3,083"
22,2020-10-13,文教堂 二子玉川店,基本から学ぶラテン語,"3,083"
23,2020-10-13,文教堂 二子玉川店,奴隷のしつけ方,"3,083"
24,2020-10-10,丸善 丸の内本店,Letters to a Young Scientist,"7,205"
25,2020-10-10,丸善 丸の内本店,Ｌｉｔｔｌｅ ｂｌｕｅ ａｎｄ ｌｉｔｔｌｅ ｙｅｌｌｏｗ １ｓｔ ｂｏａｒｄ ｂｏｏｋ ｅｄ．,"7,205"
26,2020-10-10,丸善 丸の内本店,"Pitch Perfect: How to Say It Right the First Time, Every Tim","7,205"
27,2020-10-10,丸善 丸の内本店,ストレスフリーの整理術 はじめてのＧＴＤ 全面改訂版,"1,848"
28,2020-10-03,文教堂 溝ノ口駅前店,誓願,"3,190"
29,2020-09-26,ジュンク堂 MARUZEN＆ジュンク堂書店　渋谷店,Ａ ｃｏｌｏｒ ｏｆ ｈｉｓ ｏｗｎ,"2,123"
30,2020-09-21,丸善 丸の内本店,その他商品,"4,576"
31,2020-09-21,丸善 丸の内本店,FOUR THOUGHTS THAT F*** YOU UP ... AND HOW TO FIX THEM: REWI,"4,576"
32,2020-09-04,文教堂 二子玉川店,パン屋ではおにぎりを売れ 想像以上の答えが見つかる思考法 地味だけど一生役立つ「考える技術」,"1,540"
33,2020-08-24,文教堂 溝ノ口本店,帳簿の世界史,968
34,2020-08-22,丸善 丸の内本店,To Have or To Be? (Bloomsbury Revelations) '13,"6,970"
35,2020-08-22,丸善 丸の内本店,Good Economics for Hard Times H 432 p. 19,"6,970"
36,2020-08-17,文教堂 溝ノ口本店,ご注文はうさぎですか？ ６ （ＭＡＮＧＡ ＴＩＭＥ ＫＲ ＣＯＭＩＣＳ）,"5,403"
37,2020-08-17,文教堂 溝ノ口本店,ご注文はうさぎですか？ ４,"5,403"
38,2020-08-17,文教堂 溝ノ口本店,ご注文はうさぎですか？ １,"5,403"
39,2020-08-17,文教堂 溝ノ口本店,ご注文はうさぎですか？ ３,"5,403"
40,2020-08-17,文教堂 溝ノ口本店,ご注文はうさぎですか？ ２,"5,403"
41,2020-08-17,文教堂 溝ノ口本店,その他商品,"5,403"
42,2020-08-17,文教堂 溝ノ口本店,ご注文はうさぎですか？ ５,"5,403"
43,2020-07-28,丸善 丸の内本店,The Happiness Track: How to Apply the Science of Happiness t,"6,127"
44,2020-07-28,丸善 丸の内本店,ELEANOR OLIPHANT(TOTE-1072),"6,127"
45,2020-07-28,丸善 丸の内本店,ビジネスパーソンのための「秘書力」養成講座,"1,650"
46,2020-07-11,丸善 丸の内本店,トートバッグ「MARUZEN」,"6,198"
47,2020-07-11,丸善 丸の内本店,"The Book of Greek and Roman Folktales, Legends, and Myths P","6,198"
48,2020-07-11,丸善 丸の内本店,The Richest Man in Babylon,"6,198"
49,2020-07-11,丸善 丸の内本店,音声DL付き　英語リスニングの鬼100則,"2,313"
50,2020-07-11,丸善 丸の内本店,その他商品,"2,313"
51,2020-07-02,丸善 丸の内本店,LITTLE BLACK BOOK OF CLASSIC COCKTAILS(HB)(UK),"12,743"
52,2020-07-02,丸善 丸の内本店,Quantum Computing for Everyone hardcover 216 p. 19,"12,743"
53,2020-07-02,丸善 丸の内本店,HOW WILL YOU MEASURE YOUR LIFE? INTL,"12,743"
54,2020-07-02,丸善 丸の内本店,Ｗｈｏ ｍｏｖｅｄ ｍｙ ｃｈｅｅｓｅ？ ａｎ ａｍａｚｉｎｇ ｗａｙ ｔｏ ｄｅａｌ ｗｉｔｈ ｃｈａｎｇｅ ｉｎ ｙｏｕｒ ｗｏｒｋ ａｎｄ ｉｎ ｙｏｕｒ ｌｉｆｅ,"12,743"
55,2020-07-02,丸善 丸の内本店,The Decision Book H 176 p. 17,"12,743"
56,2020-07-02,丸善 丸の内本店,リモートワークの達人,"2,420"
57,2020-07-02,丸善 丸の内本店,言葉をおぼえるしくみ 母語から外国語まで,"2,420"
58,2020-06-20,丸善 丸の内本店,"Biology: A Global Approach, Global Edition 12th ed. P 1504 p","22,261"
59,2020-06-20,丸善 丸の内本店,LOSERTHINK: HOW UNTRAINED BRAINS ARE RUINING AMERICA(PB),"22,261"
60,2020-06-20,丸善 丸の内本店,An Invitation to Applied Category Theory:Seven Sketches in C,"22,261"
61,2020-06-20,丸善 丸の内本店,ALGORITHMS TO LIVE BY: COMPUTER SCIENCE OF HUMAN DECISIONS(B,"22,261"
62,2020-06-13,丸善 丸の内本店,Ｏｘｆｏｒｄ Ｊａｐａｎｅｓｅ ｇｒａｍｍａｒ ａｎｄ ｖｅｒｂｓ,"5,702"
63,2020-06-13,丸善 丸の内本店,Learning Theories Simplified:...and how to apply them to tea,"5,702"
64,2020-06-13,丸善 丸の内本店,はじめての精神科 援助者必携 第３版,"2,200"
65,2020-06-07,丸善 丸の内本店,THIS WILL MAKE YOU SMARTER,"11,133"
66,2020-06-07,丸善 丸の内本店,Oxford College Gardens,"11,133"
67,2020-06-07,丸善 丸の内本店,A Little Book of Language P 272 p. 11,"11,133"
68,2020-05-26,丸善 丸の内本店,"The Algebra of Happiness: Notes on the Pursuit of Success, L","17,578"
69,2020-05-26,丸善 丸の内本店,APPETITE FOR WONDER: THE MAKING OF A SCIENTIST(B),"17,578"
70,2020-05-26,丸善 丸の内本店,THINK LIKE A ROCKET SCIENTIST: SIMPLE STRATEGIES FOR GIANT L,"17,578"
71,2020-05-26,丸善 丸の内本店,Norman Lewis 3-Book Box Set (EXP),"17,578"
72,2020-05-26,丸善 丸の内本店,THRIVE: THE THIRD METRIC TO REDEFINING SUCCESS AND CREATING,"17,578"
73,2020-05-26,丸善 丸の内本店,Boss Up!: This Ain't Your Mama's Business Book (EXP),"17,578"
74,2020-05-19,丸善 丸の内本店,HAPPY BRAIN(B),"2,277"
75,2020-05-11,丸善 丸の内本店,その他商品,"13,643"
76,2020-05-11,丸善 丸の内本店,Stillness Is the Key,"13,643"
77,2020-05-11,丸善 丸の内本店,So Good They Can't Ignore You P 304 p. 16,"13,643"
78,2020-05-11,丸善 丸の内本店,GETTING THINGS DONE WORKBOOK: 10 MOVES TO STRESS-FREE PRODUC,"13,643"
79,2020-05-11,丸善 丸の内本店,The Mind-Gut Connection: How the Hidden Conversation Within,"13,643"
80,2020-05-01,丸善 丸の内本店,Reading Greek: Grammar and Exercises. (Reading Greek)　2nd ed,"6,439"
81,2020-05-01,文教堂 溝ノ口本店,１冊ですべて身につくＨＴＭＬ＆ＣＳＳとＷｅｂデザイン入門講座,"2,486"
82,2020-04-21,丸善 丸の内本店,SMALL SPACE STYLE: CLEVER IDEAS FOR COMPACT INTERIORS(HB),"7,810"
83,2020-04-21,丸善 丸の内本店,MONOCLE TRAVEL GUIDE:TOKYO(H),"7,810"
84,2020-04-14,丸善 丸の内本店,"OPTION B: FACING ADVERSITY, BUILDING RESILIENCE, AND FINDING","7,757"
85,2020-04-14,丸善 丸の内本店,Sensemaking～What Makes Human Intelligence Essential in the A,"7,757"
86,2020-04-14,丸善 丸の内本店,Linear Algebra Done Right 3rd ed.(Undergraduate Texts in Mat,"7,757"
87,2020-03-28,文教堂 溝ノ口本店,その他商品,495
88,2020-03-21,丸善 丸の内本店,"Wheelock's Latin, 7th Edition","12,496"
89,2020-03-21,丸善 丸の内本店,HOW TO TALK TO ANYONE: 92 LITTLE TRICKS FOR BIG SUCCESS IN R,"12,496"
90,2020-03-21,丸善 丸の内本店,"What's Your Problem?～To Solve Your Toughest Problems, Change","12,496"
91,2020-03-13,文教堂 溝ノ口本店,寄り添うツイッター わたしがキングジムで１０年運営してわかった「つながる作法」,"1,540"
92,2020-03-08,文教堂 溝ノ口本店,完訳７つの習慣 人格主義の回復 普及版,"2,178"
93,2020-03-07,丸善 丸の内本店,ELASTIC: POWER OF FLEXIBLE THINKING(B)(UK),"22,681"
94,2020-03-07,丸善 丸の内本店,Chemistry: The Central Science 14th ed./Global ed. P 1248 p.,"22,681"
95,2020-03-07,丸善 丸の内本店,ARTIST'S PAINTING TECHNIQUES(HB)(UK),"22,681"
96,2020-03-07,丸善 丸の内本店,"The Little, Brown Handbook, Global Edition 13th ed. P 936 p.","22,681"
97,2020-03-04,文教堂 溝ノ口本店,思い通りに伝わるアウトプット術,"1,540"
98,2020-03-01,ジュンク堂 MARUZEN＆ジュンク堂書店　渋谷店,Event F,"3,982"
99,2020-03-01,ジュンク堂 MARUZEN＆ジュンク堂書店　渋谷店,書くことについて,"3,982"
100,2020-03-01,ジュンク堂 MARUZEN＆ジュンク堂書店　渋谷店,ハーバードの個性学入門 平均思考は捨てなさい,"3,982"
101,2020-02-28,文教堂 溝ノ口本店,英語の複数と冠詞 ネイティブの感覚を読む,"1,760"
102,2020-02-24,丸善 丸の内本店,MARGARET THATCHER 1: NOT FOR TURNING(B)(UK),"4,114"
103,2020-02-24,丸善 丸の内本店,私がハーバードで学んだ世界最高の「考える力」,"1,540"
104,2020-02-16,文教堂 溝ノ口本店,ＧＩＶＥ＆ＴＡＫＥ「与える人」こそ成功する時代,"1,980"
105,2020-02-11,丸善 丸の内本店,INSTANT VOCABULARY,"1,232"
106,2020-02-11,丸善 丸の内本店,自分で「始めた」女たち 「好き」を仕事にするための最良のアドバイス＆インスピレーション,"2,200"
107,2020-02-03,文教堂 溝ノ口本店,幸福論,990
108,2020-02-02,文教堂 溝ノ口本店,アランの幸福論 エッセンシャル版,"1,100"
109,2020-01-02,文教堂 二子玉川店,自分をいかして生きる,682
